Algoritmo,Precisão,Recall,F1-Score,ROC AUC,KS
AdaBoost,0.08282046268871794,0.6530962306756992,0.14666219536528227,0.6687230180474494,0.2672594202909055
RandomForest,0.08171334225434956,0.6300735336691564,0.1446573011101562,0.6523415153134614,0.25600074739191947
LogisticRegression,0.0807988005813252,0.6540624457182561,0.14191749059533385,0.6456409911199193,0.23490389217166352
XGBoost,0.07474708028454495,0.5983657576283944,0.13234344165708364,0.6353699323374161,0.20146033342811628
Bagging,0.06925839315047556,0.5247199062011464,0.12236511630890912,0.588064410098319,0.15244359651176306
DecisionTree,0.0859969056743576,0.10649716287418215,0.09514269619602077,0.5231229996409805,0.047039582901998556
