Algoritmo,Precisão,Recall,F1-Score,ROC AUC,KS
EasyEnsemble,0.08800656745260309,0.6541927219037693,0.15501697910226037,0.6908942519830729,0.2947235517600512
BalancedBaggingClassifier,0.0775147714960744,0.5760631984251057,0.13421953695197852,0.637616862466982,0.198165655541471
BalancedRandomForestClassifier,0.09261350192074676,0.5730921776388165,0.15876708845835788,0.6822831588777976,0.27128411087942844
RUSBoost,0.0823173834143737,0.5961076370794974,0.1441258057443154,0.6551590668626467,0.23802928751992394
OverBoost,0.08773747711474238,0.6760031266284523,0.15381852892037173,0.6879864214884357,0.29144123511245784
SMOTEBoost,0.07679866322179037,0.7036216779572694,0.1384601919854136,0.6644049521856603,0.2567626144431294
OverBagging,0.07278173934522858,0.6420951305656882,0.1305061534176758,0.6358155767733004,0.2065944351553961
SMOTEBagging,0.09087957844735267,0.4644092698743559,0.1500520531878782,0.6480659185620633,0.2113958252753758
