Algoritmo,Técnica de Sampling,Precisão,Recall,F1-Score,ROC AUC,KS,Imbalance Ratio
LogisticRegression,NearMiss-3,0.0723384308314704,0.5917433848648023,0.12816682563359746,0.6090429332557917,0.18179901768816806,1.0
DecisionTree,TomekLinks,0.09450344459044206,0.12293367494644201,0.10679872365232153,0.529940427132348,0.060694453805969134,0.6011760974062417
AdaBoost,TomekLinks,0.08603071756150908,0.646430432516936,0.15096886577451352,0.6733107804389068,0.2741541228275525,1.0
Bagging,TomekLinks,0.08764685906586427,0.3665392855074981,0.137405793026925,0.5833491104593678,0.1471373383586803,0.7008820730546812
RandomForest,TomekLinks,0.08778823363472653,0.5466533495454808,0.15081731475505888,0.655077784229177,0.24188978904478545,0.5513231095820218
XGBoost,TomekLinks,0.07835636294521527,0.5751621214753054,0.1378256062807516,0.6311103492667087,0.2163883616236596,1.0
LogisticRegression,TomekLinks,0.07762932067351135,0.602704678362573,0.13735112489937346,0.6443247550864083,0.22225729774133987,1.0
DecisionTree,ENN,0.09985285165213194,0.15588269353251114,0.1216649307232363,0.5404013911749127,0.081589693996118,0.20235219481248323
AdaBoost,ENN,0.08683207024395866,0.6278479821666377,0.15240850301922385,0.6779031050008139,0.27840431040029556,1.0
Bagging,ENN,0.08639445339961321,0.4269150599270453,0.14056588540866022,0.6018453838226129,0.16816448041846863,0.45161713393358227
RandomForest,ENN,0.09378159128497443,0.5267789936888426,0.15744947037623475,0.6615620336098466,0.24641274426835116,0.8504410365273406
XGBoost,ENN,0.08017759698699328,0.5806445776156562,0.14070568326647856,0.6455816854206192,0.22644893552015324,1.0
LogisticRegression,ENN,0.08418479541305947,0.6222750564530137,0.1472976595700182,0.6672483765857921,0.25376555251235544,1.0
DecisionTree,ADASYN,0.0996986584614094,0.14051372242487406,0.11663381833468311,0.5363872536922457,0.073580481812913,0.6510290852304614
AdaBoost,ADASYN,0.08345899019721138,0.6025020265184413,0.14559647272035361,0.6571489545638097,0.24500318553559483,0.20235219481248323
Bagging,ADASYN,0.07725866653320405,0.5070168201030629,0.13252102464162385,0.6026751275900318,0.17217676447023958,0.5513231095820218
RandomForest,ADASYN,0.09535749428180151,0.5565145330322506,0.16183881572248635,0.6687872505007711,0.2695418858370721,1.0
XGBoost,ADASYN,0.0809536894405084,0.581864107463378,0.14199431740478505,0.6470215417088337,0.23294199341609004,0.35191115828514263
LogisticRegression,ADASYN,0.07757634364422948,0.6180483179896937,0.13771646506796284,0.6354152479678646,0.2280969967101388,0.8005880487031208
DecisionTree,SMOTE,0.09450117117450778,0.1295596664929651,0.10921705662400198,0.531806557742005,0.06442290246885753,1.0
AdaBoost,SMOTE,0.08807750326158265,0.5641175959701233,0.1515178154149953,0.6632238269234471,0.24967624223808807,0.252205182636703
Bagging,SMOTE,0.0830736832239546,0.41270048057437325,0.13622886146220559,0.590837588460872,0.15922342911401163,0.6011760974062417
RandomForest,SMOTE,0.09475926942386159,0.5663829540848822,0.1607193675125551,0.6709850414336049,0.26834169307421923,0.6510290852304614
XGBoost,SMOTE,0.08520846230920111,0.6013403971976146,0.1463413291063532,0.647307530940443,0.2346853207024824,0.6011760974062417
LogisticRegression,SMOTE,0.0761841591266639,0.5949641016733253,0.1349489684663812,0.6273632086966108,0.21074991530336695,0.6510290852304614
DecisionTree,BorderlineSMOTE-1,0.09917190224925099,0.12844870013317122,0.11170582622244675,0.5325151276450938,0.06580382298898947,0.6011760974062417
AdaBoost,BorderlineSMOTE-1,0.08701083127466124,0.624428232296914,0.15119104262926417,0.6751093740651058,0.26675553874104924,0.5513231095820218
Bagging,BorderlineSMOTE-1,0.0949420223303708,0.34030672804122525,0.1484116626148693,0.5956308227928605,0.16906194361841576,0.15249920698826347
RandomForest,BorderlineSMOTE-1,0.09356456775178205,0.5609041167274622,0.16001383695936244,0.6766606447652488,0.27149753351003053,1.0
XGBoost,BorderlineSMOTE-1,0.08423044149932878,0.49615323374442705,0.14393917110630394,0.6368918186711522,0.21057140713339326,0.4017641461093624
LogisticRegression,BorderlineSMOTE-1,0.07428135702580589,0.5609764923860806,0.13096839310576505,0.615922454771555,0.18887403526971536,0.750735060878901
DecisionTree,BorderlineSMOTE-2,0.09624703108475928,0.12844870013317122,0.10995934525044389,0.5319535380835683,0.06487660926622639,0.4017641461093624
AdaBoost,BorderlineSMOTE-2,0.08143421319429188,0.6607246250940882,0.14444040160206253,0.6718023223567142,0.2629499380287198,0.35191115828514263
Bagging,BorderlineSMOTE-2,0.07884324243596504,0.5179744948179029,0.13476800462254607,0.6030079480376392,0.17925173172100903,0.252205182636703
RandomForest,BorderlineSMOTE-2,0.09912233338050258,0.5761355740837241,0.16526078961914195,0.6696496513934297,0.2729946375978642,0.252205182636703
XGBoost,BorderlineSMOTE-2,0.08571035499901564,0.5280057611024259,0.14512911659449448,0.6444091865391705,0.21779481998049743,0.501470121757802
LogisticRegression,BorderlineSMOTE-2,0.07961623560540042,0.5049649701812285,0.13692369137372998,0.6197558053582789,0.19237804389471957,0.30205817046092287
DecisionTree,SMOTEEN,0.09999921531701193,0.19434311852237854,0.13204167024207605,0.5511296028402342,0.10225920568046849,0.6011760974062417
AdaBoost,SMOTEEN,0.08406521427236796,0.6409624515083087,0.14847477261886252,0.6695473210577774,0.2722211441369596,0.750735060878901
Bagging,SMOTEEN,0.09106308311379792,0.42468227085866483,0.14824616594626763,0.6264435590606312,0.19606613733988873,0.4017641461093624
RandomForest,SMOTEEN,0.09461843456714408,0.5949062011464304,0.16288276077727026,0.6832464226493654,0.2902005915034077,0.750735060878901
XGBoost,SMOTEEN,0.08616775584214686,0.5718509350935094,0.14890277101482985,0.6568518909882259,0.24593531154228077,0.5513231095820218
LogisticRegression,SMOTEEN,0.07316529608481316,0.6059652017833362,0.13048691306313268,0.6222057981569514,0.1993240334940455,0.4017641461093624
DecisionTree,SMOTETomek,0.0913387782823965,0.12625209889409994,0.10594710227682003,0.5297648463262438,0.06030402286257467,0.5513231095820218
AdaBoost,SMOTETomek,0.08006711607064944,0.6815941462567309,0.14310724326521004,0.6695705103345596,0.2665501036048997,1.0
Bagging,SMOTETomek,0.0766059806296359,0.4982159400150541,0.13106678614875758,0.5986224109369707,0.16731654270397397,0.8504410365273406
RandomForest,SMOTETomek,0.09426457240507534,0.5630609113542934,0.1609304954245625,0.6737134172250766,0.27377022985220706,0.750735060878901
XGBoost,SMOTETomek,0.08209067009365793,0.588345347692664,0.14388358065622006,0.6487351068334177,0.23924938107235802,0.35191115828514263
LogisticRegression,SMOTETomek,0.0784323142574363,0.5928000694806324,0.13837098490834476,0.6361633986238278,0.22278384324048392,0.15249920698826347
