Algoritmo,Precisão,Recall,F1-Score,ROC AUC,KS
DecisionTree,0.23151515151515153,0.2322695035460993,0.2317772453110799,0.6106062470053483,0.22121249401069656
Bagging,0.11638828837667736,0.4649822695035461,0.17515270118009843,0.7097588055350516,0.3950897963852665
XGBoost,0.09559513109910979,0.6481973995271867,0.16347607840174075,0.8006234181404309,0.5415834818968358
LogisticRegression,0.08055783215600566,0.6266252955082743,0.14100872245266208,0.7611578204834898,0.507026999707909
RandomForest,0.07691531710774202,0.6127364066193853,0.13513002023732143,0.7864087821893584,0.4955726817258978
AdaBoost,0.055009457543389456,0.6270685579196217,0.09944074567767834,0.7262308288332621,0.43940371718113536
