Algoritmo,Precisão,Recall,F1-Score,ROC AUC,KS
EasyEnsemble,0.0591893221086738,0.6124408983451537,0.10704322977601362,0.7453504659785982,0.46220758529991124
BalancedBaggingClassifier,0.04400392856057025,0.6193853427895982,0.08208920933010473,0.7531317267251713,0.42147501615133476
BalancedRandomForestClassifier,0.09166532385861222,0.6406619385342789,0.16022453090945785,0.7830912161919109,0.5486554463451939
RUSBoost,0.03615057877772365,0.6189420803782506,0.06805364670851917,0.7027603359549576,0.36909424105993044
OverBoost,0.07635703989799669,0.6128841607565012,0.130781707622759,0.7499129032977501,0.4638681331646976
SMOTEBoost,0.05346996658975294,0.5979609929078014,0.09781905041287302,0.7437321624874639,0.44285853804880365
OverBagging,0.08719615370491211,0.6124408983451537,0.14376547540760912,0.7892261604140498,0.47174298801851533
SMOTEBagging,0.07724968062558725,0.6409574468085107,0.1357836138720404,0.7858210031022074,0.5103021414727428
