Algoritmo,Técnica de Sampling,Precisão,Recall,F1-Score,ROC AUC,KS,Imbalance Ratio
AdaBoost,SMOTEEN,0.08043269178954943,0.4992612293144208,0.13693936091306783,0.7040076353726462,0.41242820030245086,0.6368858848277115
Bagging,SMOTEEN,0.09957878335612565,0.5131501182033097,0.16361511403155368,0.7481311304927128,0.4404173123603396,0.7925062199015493
RandomForest,SMOTEEN,0.08499895591363159,0.6400709219858155,0.14692512888809853,0.8032614544978408,0.5282835411783496,0.22189832463081016
XGBoost,SMOTEEN,0.13807599806419066,0.6465721040189126,0.19057321987052153,0.8003003015155635,0.5167283223187705,0.11815143458158484
LogisticRegression,SMOTEEN,0.10848680248775365,0.5629432624113475,0.1721462753494233,0.7461038502048235,0.46961804431437043,0.3256452146800355
DecisionTree,SMOTETomek,0.09913196047649829,0.3806146572104019,0.15720346005525995,0.6652515363552517,0.33050307271050333,0.11815143458158484
AdaBoost,SMOTETomek,0.0800200757097309,0.5276300236406619,0.13625306491160152,0.7253863460428871,0.4217261891914836,0.844379664926162
Bagging,SMOTETomek,0.13420454130924622,0.4930555555555556,0.18859236002093147,0.7466246318287052,0.4117003110840603,0.1700248796061975
RandomForest,SMOTETomek,0.08700400007497078,0.6546985815602837,0.1525897057678721,0.7983268665043619,0.5488961875655586,0.1700248796061975
XGBoost,SMOTETomek,0.09948226192238906,0.6054964539007092,0.16683707755834307,0.7973738613129129,0.5087222603523222,0.8962531099507747
LogisticRegression,SMOTETomek,0.08751815765390426,0.563386524822695,0.1481874530594473,0.7474555352674647,0.4633662367318044,0.4812655497538735
